번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
2086,6급,진정01,부사,진정 기쁘다
2087,6급,진정03,명사,사태 진정
2164,6급,총체적01∙ 총체적02,관형사∙ 명사,총체적인 노력
2089,6급,진풍경,명사,진풍경이 펼쳐지다
2090,6급,진흥,명사,무역 진흥
2091,6급,질량,명사,질량을 재다
2092,6급,질의,명사,질의에 대답하다
2093,6급,짊어지다,동사,가방을 짊어지다
2094,6급,-집03,접사,소설집
2095,6급,집사람,명사,집사람과 의논하다
2096,6급,집필,명사,원고 집필
2097,6급,집회,명사,집회에 참석하다
2098,6급,짓궂다,형용사,짓궂은 농담
2099,6급,짓밟다,동사,잔디를 짓밟다
2100,6급,징역,명사,징역을 살다
2101,6급,징크스,명사,징크스를 깨다
2102,6급,짜임새,명사,짜임새를 갖추다
2103,6급,짤막하다,형용사,글이 짤막하다
2104,6급,째려보다,동사,카메라를 째려보다
2105,6급,쩔쩔매다,동사,혼자 쩔쩔매다
2106,6급,쪼그리다,동사,무릎을 쪼그리다
2107,6급,쭈그리다,동사,쭈그려 앉다
2108,6급,찌들다,동사,땀에 찌들다
2109,6급,찌뿌드드하다,형용사,온몸이 찌뿌드드하다
2110,6급,찔리다,동사,바늘에 찔리다
2111,6급,찧다,동사,방아를 찧다
2112,6급,차곡차곡,부사,차곡차곡 모으다
2113,6급,차관01,명사,교육부 차관
2114,6급,차일피일,부사,차일피일 미루다
2115,6급,차질,명사,차질을 빚다
2116,6급,착륙,명사,비행기 착륙
2117,6급,착실하다,형용사,착실한 사람
2118,6급,착오,명사,착오가 생기다
2119,6급,찬란하다,형용사,햇살이 찬란하다
2120,6급,찬반,명사,찬반 토론
2121,6급,찬사,명사,찬사를 보내다
2122,6급,찬송가,명사,찬송가를 부르다
2123,6급,참견,명사,괜한 참견
2124,6급,참배,명사,신사 참배
2125,6급,창백하다,형용사,얼굴색이 창백하다
2126,6급,창의성,명사,창의성을 발휘하다
2127,6급,창작품,명사,예술적 창작품
2128,6급,창출,명사,일자리 창출
2129,6급,채05,부사,
2130,6급,채다03,동사,눈치를 채다
2131,6급,처가,명사,처가에 가다
2132,6급,처량하다,형용사,신세가 처량하다
2133,6급,처마,명사,처마 끝
2134,6급,처지,명사,처지가 딱하다
2135,6급,처지다,동사,눈꺼풀이 처지다
2136,6급,처참하다,형용사,모습이 처참하다
2137,6급,척추,명사,척추가 휘다
2138,6급,천막,명사,천막을 치다
2139,6급,천만다행,명사,천만다행으로 여기다
2175,6급,추상적01∙ 추상적02,관형사∙ 명사,추상적인 그림
2141,6급,천지,명사,천지 차이
2142,6급,천하다,형용사,신분이 천하다
2143,6급,철강,명사,철강 산업
2144,6급,철거,명사,아파트 철거
2145,6급,철새,명사,겨울 철새
2146,6급,철수,명사,군대 철수
2147,6급,첨단,명사,첨단  과학
2148,6급,첨예하다,형용사,대립이 첨예하다
2149,6급,청중,명사,청중을 사로잡다
2150,6급,체내,명사,체내 수분
2151,6급,체벌,명사,체벌을 받다
2152,6급,체제,명사,민주주의 체제
2153,6급,체포,명사,범인 체포
2154,6급,초가집,명사,초가집 지붕
2155,6급,초능력,명사,초능력을 지니다
2156,6급,초래,명사,갈등 초래
2157,6급,초월,명사,상상 초월
2197,6급,치명적01∙ 치명적02,관형사∙ 명사,치명적인 실수
2159,6급,초창기,명사,초창기 모습
2160,6급,촉각02,명사,손끝의 촉각
2161,6급,촉진,명사,개발 촉진
2162,6급,촉촉하다,형용사,피부가 촉촉하다
2163,6급,총액,명사,소득 총액
2279,6급,특징적01∙ 특징적02,관형사∙ 명사,특징적인 행동
2165,6급,최고령,명사,최고령 합격자
2166,6급,최고조,명사,최고조에 달하다
2167,6급,최악,명사,최악의 결과
2168,6급,최연소,명사,최연소 선수
2169,6급,최적,명사,최적의 환경
2170,6급,최첨단,명사,최첨단 시설
2171,6급,최후,명사,최후의 선택
2172,6급,추격,명사,경찰의 추격
2173,6급,추리다,동사,지원자를 추리다
2174,6급,추모,명사,희생자 추모
2289,6급,파격적01∙ 파격적02,관형사∙ 명사,파격적인 조건
2176,6급,추이,명사,변화 추이
2177,6급,추적,명사,범인 추적
2178,6급,추정,명사,추정 보도
2179,6급,축축하다,형용사,수건이 축축하다
2180,6급,출동,명사,긴급 출동
2181,6급,출마,명사,대통령 출마
2182,6급,출범,명사,정부 출범
2183,6급,출세,명사,출세 가도
2184,6급,출제,명사,문제 출제
2185,6급,출품,명사,출품 작품
